"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 11:06:45 GMT 2022","Tue Jun 14 11:07:13 GMT 2022","28103","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"broken","Tue Jun 14 11:05:34 GMT 2022","Tue Jun 14 11:06:06 GMT 2022","32010","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 10:59:49 GMT 2022","Tue Jun 14 11:00:07 GMT 2022","17848","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 11:04:47 GMT 2022","Tue Jun 14 11:05:09 GMT 2022","22182","webkit","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:25:44 GMT 2022","Tue Jun 14 14:25:56 GMT 2022","12117","chromium","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Tue Jun 14 11:04:06 GMT 2022","Tue Jun 14 11:04:29 GMT 2022","23138","webkit","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:25:30 GMT 2022","Tue Jun 14 14:25:44 GMT 2022","14049","chromium","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Tue Jun 14 14:27:09 GMT 2022","Tue Jun 14 14:27:34 GMT 2022","24826","chromium","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:00:07 GMT 2022","Tue Jun 14 11:00:17 GMT 2022","10139","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"passed","Tue Jun 14 11:05:09 GMT 2022","Tue Jun 14 11:05:34 GMT 2022","25595","webkit","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"passed","Tue Jun 14 14:27:58 GMT 2022","Tue Jun 14 14:28:11 GMT 2022","13378","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
