"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 14 11:00:05 GMT 2022","Tue Jun 14 11:00:36 GMT 2022","31038","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"broken","Tue Jun 14 10:56:56 GMT 2022","Tue Jun 14 10:57:26 GMT 2022","30738","firefox","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 11:06:12 GMT 2022","Tue Jun 14 11:06:44 GMT 2022","32183","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-25 Verify the Show/Hide password button",""
"passed","Tue Jun 14 15:27:22 GMT 2022","Tue Jun 14 15:27:30 GMT 2022","8645","chromium","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 15:26:13 GMT 2022","Tue Jun 14 15:26:24 GMT 2022","11417","chromium","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Tue Jun 14 15:29:29 GMT 2022","Tue Jun 14 15:29:43 GMT 2022","13244","chromium","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"broken","Tue Jun 14 10:56:47 GMT 2022","Tue Jun 14 10:57:17 GMT 2022","30014","firefox","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"passed","Tue Jun 14 11:00:48 GMT 2022","Tue Jun 14 11:01:02 GMT 2022","14233","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"broken","Tue Jun 14 11:02:04 GMT 2022","Tue Jun 14 11:02:38 GMT 2022","33988","webkit","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"passed","Tue Jun 14 15:30:06 GMT 2022","Tue Jun 14 15:30:15 GMT 2022","8641","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"passed","Tue Jun 14 10:58:55 GMT 2022","Tue Jun 14 10:59:15 GMT 2022","20357","firefox","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"passed","Tue Jun 14 11:04:47 GMT 2022","Tue Jun 14 11:05:09 GMT 2022","22182","webkit","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 10:53:53 GMT 2022","Tue Jun 14 10:53:59 GMT 2022","6059","firefox","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"broken","Tue Jun 14 10:58:12 GMT 2022","Tue Jun 14 10:58:52 GMT 2022","40335","firefox","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 15:29:55 GMT 2022","Tue Jun 14 15:30:06 GMT 2022","10893","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 15:27:30 GMT 2022","Tue Jun 14 15:27:49 GMT 2022","18069","chromium","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 15:26:39 GMT 2022","Tue Jun 14 15:26:53 GMT 2022","13698","chromium","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"failed","Tue Jun 14 15:30:22 GMT 2022","Tue Jun 14 15:30:31 GMT 2022","9009","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"broken","Tue Jun 14 11:05:39 GMT 2022","Tue Jun 14 11:06:11 GMT 2022","31913","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 11:04:29 GMT 2022","Tue Jun 14 11:04:50 GMT 2022","20828","webkit","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 11:02:39 GMT 2022","Tue Jun 14 11:03:00 GMT 2022","21339","webkit","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"passed","Tue Jun 14 11:02:30 GMT 2022","Tue Jun 14 11:02:46 GMT 2022","15887","webkit","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
