"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 13:50:47 EEST 2022","Tue Jun 14 13:50:58 EEST 2022","11133","chromium","mainPage.spec.ts","main page testing","","","TNP-02 Verify the main page hovers",""
"passed","Tue Jun 14 13:52:23 EEST 2022","Tue Jun 14 13:52:40 EEST 2022","16523","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 13:58:08 EEST 2022","Tue Jun 14 13:58:26 EEST 2022","18006","firefox","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:51:04 EEST 2022","Tue Jun 14 13:51:14 EEST 2022","9156","chromium","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"passed","Tue Jun 14 14:04:23 EEST 2022","Tue Jun 14 14:04:47 EEST 2022","23916","webkit","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:53:53 EEST 2022","Tue Jun 14 13:53:59 EEST 2022","6059","firefox","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Tue Jun 14 14:03:33 EEST 2022","Tue Jun 14 14:04:00 EEST 2022","26955","webkit","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:50:42 EEST 2022","Tue Jun 14 13:50:47 EEST 2022","4968","chromium","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Tue Jun 14 13:59:27 EEST 2022","Tue Jun 14 13:59:49 EEST 2022","21872","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 14:04:50 EEST 2022","Tue Jun 14 14:05:14 EEST 2022","23861","webkit","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 14:05:39 EEST 2022","Tue Jun 14 14:06:11 EEST 2022","31913","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"passed","Tue Jun 14 13:53:10 EEST 2022","Tue Jun 14 13:53:18 EEST 2022","7776","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"passed","Tue Jun 14 14:05:14 EEST 2022","Tue Jun 14 14:05:39 EEST 2022","25088","webkit","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"passed","Tue Jun 14 13:51:36 EEST 2022","Tue Jun 14 13:51:48 EEST 2022","12419","chromium","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:04:47 EEST 2022","Tue Jun 14 14:05:09 EEST 2022","22182","webkit","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 14:06:08 EEST 2022","Tue Jun 14 14:06:40 EEST 2022","31886","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"broken","Tue Jun 14 13:58:54 EEST 2022","Tue Jun 14 14:00:04 EEST 2022","69642","firefox","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 13:55:03 EEST 2022","Tue Jun 14 13:55:50 EEST 2022","47493","firefox","mainPage.spec.ts","main page testing","","","TNP-04 Verify the 'Messaging API' card works",""
"passed","Tue Jun 14 14:03:06 EEST 2022","Tue Jun 14 14:03:23 EEST 2022","17069","webkit","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 13:52:13 EEST 2022","Tue Jun 14 13:52:25 EEST 2022","12598","chromium","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"passed","Tue Jun 14 13:50:58 EEST 2022","Tue Jun 14 13:51:05 EEST 2022","7572","chromium","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"passed","Tue Jun 14 13:51:22 EEST 2022","Tue Jun 14 13:51:36 EEST 2022","13919","chromium","mainPage.spec.ts","main page testing","","","TNP-12 Verify the 'Elastic SIP Trunking' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:02:15 EEST 2022","Tue Jun 14 14:02:30 EEST 2022","15192","webkit","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Tue Jun 14 14:04:00 EEST 2022","Tue Jun 14 14:04:23 EEST 2022","22350","webkit","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:53:23 EEST 2022","Tue Jun 14 13:53:28 EEST 2022","5832","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"broken","Tue Jun 14 13:54:59 EEST 2022","Tue Jun 14 13:55:50 EEST 2022","51057","firefox","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Tue Jun 14 13:51:17 EEST 2022","Tue Jun 14 13:51:24 EEST 2022","6389","chromium","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"passed","Tue Jun 14 14:03:23 EEST 2022","Tue Jun 14 14:03:42 EEST 2022","18841","webkit","mainPage.spec.ts","main page testing","","","TNP-10 Verify the 'Explore our products' button in 'Powerful products' cards table works",""
"broken","Tue Jun 14 14:01:42 EEST 2022","Tue Jun 14 14:02:14 EEST 2022","31974","webkit","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-31 Verify the currency was changed when the currency was changed in the listbox",""
"passed","Tue Jun 14 13:58:39 EEST 2022","Tue Jun 14 13:58:55 EEST 2022","15920","firefox","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:00:17 EEST 2022","Tue Jun 14 14:00:29 EEST 2022","11909","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-24 Test the password validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 13:52:26 EEST 2022","Tue Jun 14 13:52:40 EEST 2022","14381","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-29 Verify the error messages on the Sign Up page are dislayed with empty inputs registration",""
"failed","Tue Jun 14 14:07:45 EEST 2022","Tue Jun 14 14:08:03 EEST 2022","17488","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-35 Verify all inputs in breakdown overlap are required",""
"passed","Tue Jun 14 14:04:06 EEST 2022","Tue Jun 14 14:04:29 EEST 2022","23138","webkit","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:52:00 EEST 2022","Tue Jun 14 13:52:13 EEST 2022","12964","chromium","mainPage.spec.ts","main page testing","","","TNP-17 Verify the 'Global Numbers' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:52:01 EEST 2022","Tue Jun 14 13:52:12 EEST 2022","11660","chromium","mainPage.spec.ts","main page testing","","","TNP-18 Verify the 'Video API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 14:04:29 EEST 2022","Tue Jun 14 14:04:50 EEST 2022","20828","webkit","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:58:26 EEST 2022","Tue Jun 14 13:58:39 EEST 2022","13377","firefox","mainPage.spec.ts","main page testing","","","TNP-16 Verify the 'Number Lookup' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:51:40 EEST 2022","Tue Jun 14 13:51:51 EEST 2022","11636","chromium","mainPage.spec.ts","main page testing","","","TNP-14 Verify the 'SMS API' link in 'Products' tab dropdownlist works",""
"broken","Tue Jun 14 13:58:12 EEST 2022","Tue Jun 14 13:58:52 EEST 2022","40335","firefox","mainPage.spec.ts","main page testing","","","TNP-15 Verify the 'Wireless' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:52:50 EEST 2022","Tue Jun 14 13:52:59 EEST 2022","9068","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-24 Test the password validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 13:52:40 EEST 2022","Tue Jun 14 13:52:50 EEST 2022","10219","chromium","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 14:06:45 EEST 2022","Tue Jun 14 14:07:13 EEST 2022","28103","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"passed","Tue Jun 14 13:56:18 EEST 2022","Tue Jun 14 13:56:47 EEST 2022","29382","firefox","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 13:55:51 EEST 2022","Tue Jun 14 13:56:17 EEST 2022","25884","firefox","mainPage.spec.ts","main page testing","","","TNP-07 Verify the 'Wireless' card works",""
"passed","Tue Jun 14 13:53:18 EEST 2022","Tue Jun 14 13:53:23 EEST 2022","4402","chromium","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-34 Verify the Get the full price breakdown overlap is displayed",""
"passed","Tue Jun 14 14:00:42 EEST 2022","Tue Jun 14 14:00:48 EEST 2022","6471","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-34 Verify the Get the full price breakdown overlap is displayed",""
"broken","Tue Jun 14 14:07:15 EEST 2022","Tue Jun 14 14:07:47 EEST 2022","31546","webkit","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-33 Verify the twilio price calculator functionality",""
"broken","Tue Jun 14 14:00:05 EEST 2022","Tue Jun 14 14:00:36 EEST 2022","31038","firefox","signUpPage.spec.ts","sign up page testing","","","TNP-22 Test the email validation on the Sign Up page with incorrect data",""
"passed","Tue Jun 14 13:59:15 EEST 2022","Tue Jun 14 13:59:27 EEST 2022","12111","firefox","mainPage.spec.ts","main page testing","","","TNP-27 Test the email input in Email Form with incorrect data",""
"broken","Tue Jun 14 13:57:34 EEST 2022","Tue Jun 14 13:58:11 EEST 2022","36748","firefox","mainPage.spec.ts","main page testing","","","TNP-13 Verify the 'Voice API' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:52:12 EEST 2022","Tue Jun 14 13:52:23 EEST 2022","10846","chromium","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"passed","Tue Jun 14 14:05:09 EEST 2022","Tue Jun 14 14:05:34 EEST 2022","25595","webkit","mainPage.spec.ts","main page testing","","","TNP-26 Verify the email input in EmailFormCtaForm on the main page",""
"passed","Tue Jun 14 13:53:30 EEST 2022","Tue Jun 14 13:53:53 EEST 2022","22837","firefox","elasticSipPage.spec.ts","testing the elastic sip pricing page","","","TNP-30 Verify the Elastic SIP Trunking Pricing page",""
"passed","Tue Jun 14 13:51:14 EEST 2022","Tue Jun 14 13:51:22 EEST 2022","8231","chromium","mainPage.spec.ts","main page testing","","","TNP-09 Verify the 'Elastic SIP Trunking' card works",""
"passed","Tue Jun 14 13:50:47 EEST 2022","Tue Jun 14 13:50:55 EEST 2022","8207","chromium","mainPage.spec.ts","main page testing","","","TNP-03 Verify the 'Powerful products' cards table",""
"passed","Tue Jun 14 14:01:46 EEST 2022","Tue Jun 14 14:02:04 EEST 2022","17447","webkit","mainPage.spec.ts","main page testing","","","TNP-01 Verify the main page",""
"passed","Tue Jun 14 14:00:29 EEST 2022","Tue Jun 14 14:00:42 EEST 2022","12597","firefox","twilioPriceCalcPage.spec.ts","testing the twilio price calculator page","","","TNP-32 Verify the twilio price calculator page",""
"passed","Tue Jun 14 13:51:05 EEST 2022","Tue Jun 14 13:51:17 EEST 2022","11948","chromium","mainPage.spec.ts","main page testing","","","TNP-08 Verify the 'Voice API' card works",""
"broken","Tue Jun 14 14:06:41 EEST 2022","Tue Jun 14 14:07:12 EEST 2022","31334","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-24 Test the password validation on the Sign Up page with incorrect data",""
"broken","Tue Jun 14 14:05:34 EEST 2022","Tue Jun 14 14:06:06 EEST 2022","32010","webkit","signUpPage.spec.ts","sign up page testing","","","TNP-20 Verify the Sign Up page",""
"passed","Tue Jun 14 14:03:42 EEST 2022","Tue Jun 14 14:04:06 EEST 2022","24786","webkit","mainPage.spec.ts","main page testing","","","TNP-11 Verify the 'See all products' link in 'Products' tab dropdownlist works",""
"passed","Tue Jun 14 13:55:51 EEST 2022","Tue Jun 14 13:56:18 EEST 2022","26671","firefox","mainPage.spec.ts","main page testing","","","TNP-06 Verify the 'Video API' card works",""
"failed","Tue Jun 14 13:56:17 EEST 2022","Tue Jun 14 13:56:54 EEST 2022","37207","firefox","mainPage.spec.ts","main page testing","","","TNP-08 Verify the 'Voice API' card works",""
